building_number,January-19,February-19,March-19,April-19,May-19,June-19,July-19,August-19,September-19,October-19,November-19,December-19,January-20,February-20,March-20,April-20,May-20,June-20,July-20,August-20,September-20,October-20,November-20,December-20
Building 37,9062.672488463166,12442.96672573865,19490.955610243618,13445.395574165239,36111.88953006909,39316.5827685808,47504.0230973835,82940.47447653388,75083.64728055563,21034.015185683485,20709.696685255603,9967.390730148436,10669.910170867195,11618.510601361033,12023.417427899944,6350.158959826709,20875.958167371376,21834.663251593025,30942.182313479167,33573.712204277144,52861.70848342871,22322.847270244376,18809.19176425784,9656.028520555721
Building 38,3419.1183705283916,2188.3418551329964,3273.3948171329644,3475.118771957279,12956.211737360603,16754.768760580966,25280.21834160516,24854.45689689246,27276.4206451079,12246.892021584126,5710.01040082159,1976.3212352309974,2367.713804255685,2772.555180367935,3685.6302839197065,3418.2272153220256,11047.710563108078,12483.97109325035,17190.13725839367,15888.021049608013,18115.33828971819,14010.069169247185,7275.742937057076,2562.468859743905
Building 39,17294.347061990848,18331.00928862191,21593.17398554794,22927.558957735888,47875.43686548391,64530.02337271952,83649.75219581675,102031.04255437724,70033.46898786502,59993.28199015113,34085.3579937415,16165.441311275586,18902.723786681658,23144.977241330296,21728.215004307538,19778.341120266214,54690.877103207684,110510.45481978027,88095.24981525948,87622.37175454643,62839.96849141228,68699.33899300713,36526.541479528474,33457.48776279759
Building 40,18891.011318418437,18777.32587796654,21063.012501876317,18924.932862413636,27020.734337555434,38299.76098665764,55343.42496118954,56555.2792922493,56874.503708877215,36585.22874177484,28074.746148901482,20330.602581712294,19478.023735055118,18925.36057963524,24104.291536761077,22166.13807796158,32339.552228124503,33027.77442386267,51990.62896263391,51317.89233014253,52274.639569907944,39212.263678143725,26689.38129480604,16434.537368874422
Building 41,29434.148323675516,24989.334007104906,32020.20737946757,40601.38546224735,56777.72708600786,69117.4025435199,83135.62287511337,93166.15733197986,69484.96034693018,56537.71966365069,44246.262380943896,38905.9501022075,35942.16173005374,35574.30870917889,33058.41622766233,25821.37835968798,32467.55105048288,116546.0971530144,88804.69791009184,68898.45831234266,54134.49242391136,49346.87910011194,39933.36149078787,71488.01368342777
Building 42,27810.086537738047,23797.061329806478,42251.53029672988,30263.427087060616,33513.39868506717,52557.87951092855,66553.79281576547,72152.38078932423,75169.81224896465,50558.27303893184,26739.475031264505,21735.752022056968,20179.375807052416,19543.086255947714,20467.027369725605,14071.170537659831,35830.54358375177,74432.24004438528,60586.86729868518,57396.35435683291,55863.77288759463,40419.47863673039,27430.186947512477,14440.125997106328
Building 50,12537.609761356298,10156.30455251459,12246.847921076416,7785.517511635942,12032.044771178607,11794.351565981604,12404.360859117676,13995.205952194661,12195.290186759783,14019.556184589575,16477.435211446107,14437.097527715263,19235.7327733924,15631.06625929914,15850.828141459095,17087.27925938802,9681.788857847072,9178.750197417883,15514.448638937385,14353.149526119058,12503.988608940901,14843.051953423883,18793.294073279078,12294.313130668703
Building 51,413.21799001564415,3339.7481565269577,11012.309486792296,16930.667158230175,38966.58105646737,57544.61344587621,68021.30103332597,78416.37605556869,61784.050660551635,44114.97635765694,31752.902905229384,16611.989802557,11748.964004659369,11930.519917604386,16970.693920850572,25342.563561200768,29846.561080157684,29504.038976984204,39935.69278377641,44446.614881815025,40147.8000182866,25072.16614680922,14135.905855468502,9796.102216345687
Building 54,19442.461120048276,19853.49740579599,36977.929143830734,19235.877225397482,39213.60308906804,63275.065950336015,79230.4598713806,101663.52432328644,68990.10795916912,64248.83963585933,46550.42058472725,43130.15300634834,36345.556742765104,36930.781949096716,43769.582407337366,167.20208621624633,58998.5745598276,58836.319711347845,6854.189740228645,88949.14537315608,74179.99474831331,79703.92732680669,55484.57976373888,21003.17666064465
Building 55,13613.720957096137,7137.213900591034,8948.122712870878,4269.588741255729,16676.473999531092,24964.762078848333,31175.164880163484,30230.99748083189,29078.382105205386,20961.475387785445,11548.649645234678,11608.68080417616,0.0,4812.140185810962,4739.744579816862,0.0,16336.16894937716,19596.88244697245,32039.210685763697,28127.29267643616,29822.299512333702,22531.99819494037,11447.574549011597,3814.7656511075234
Building 56,3479.0585663577217,1823.9588641975834,2286.7460725444053,1091.1208953346516,4261.769603381102,6379.882068471867,7966.992746690704,7725.7005543277555,7431.143593377873,5356.822885086258,2951.3197905071884,2966.6640233398384,0.0,1229.764946443408,1211.2704570614283,0.0,4174.797270905389,5008.087485869629,8187.801767632233,7188.087925773741,7621.257001527184,5758.177203789006,2925.4927595754,974.8807218485568
Building 57,5817.827807300614,3050.091915402403,3823.988682608157,1824.6077419897372,7126.6937860922735,10668.701310707336,13322.717916742624,12919.23144375459,12426.664499449756,8957.899177430081,4935.315616533449,4960.973595753339,0.0,2056.462258989823,2025.536828655096,0.0,6981.269102796563,8374.725410804733,13691.97225306171,12020.210627249644,12744.570048259062,9629.056630373641,4892.125732767222,1630.2542636244755
Building 58,8116.97819880561,6655.26476145517,9206.180573769507,29161.170279343794,48989.259309293535,75271.98862685707,85254.22612928785,84154.45028537298,68097.20941316763,53785.71107506808,39928.51129978659,13817.309305339293,14232.462037877325,13091.062346131244,13310.98658078237,17004.228265715934,46645.110751968525,46131.24363896192,64066.003680010304,72352.86631381864,58921.37762163203,60353.31339037794,34539.11278858946,9082.192130105817
Building 59,0.0,0.0,0.0,8038.079064375938,14535.455354732387,24166.457267821756,32127.017641411745,32821.25536305189,25257.989387090925,13712.536576687982,8459.103151937854,382.26187805323127,0.0,1.0917899868546512,0.08092490276224092,48.79262056159522,18396.11243836742,18912.109211632167,25665.530255046946,29287.410036097506,23304.328524719793,21672.735887661624,11347.72501355824,0.0
Building 60,6399.617068051845,3355.107014195593,4206.381548406634,2007.0685161887109,7839.367556399489,11735.56638281222,14654.99466340263,14211.157823040983,13669.329824525696,9853.684522856802,5428.8530216322715,5457.070955328673,0.0,2262.1130340137506,2228.0918602689853,0.0,7679.403524744199,9212.205300617376,15061.16634522452,13222.23838645479,14019.033810990566,10591.966350458184,5381.343321088417,1793.27106475935
Building 62,11004.384912190237,9428.15292495051,10272.842141343242,28426.954682716874,30136.34762068756,43847.72647499989,51813.64176738203,57356.448116936524,50905.32969474863,40598.88799430333,25829.913525336764,15744.742151179396,16563.383859277004,16200.176953696942,13567.073435573482,13546.811645868573,41593.23234869106,42186.333979646144,60281.03073149732,64264.27399866879,46116.38224316861,53254.36323486921,23246.65356512143,10314.535895016596
Building 63,23405.680948198886,23620.150918475603,30927.987327252355,22047.01367926374,52103.620958498985,68547.0243798697,95670.62688833346,104119.26382587856,78993.70330979128,65762.93931281786,28980.27567744919,40444.61988549789,46043.591088696754,43520.64434475358,33786.68640258733,137608.90886375032,72457.43664827372,73037.87323080383,111547.52760075133,111573.30890100355,73459.38962015978,77747.04104786433,60357.99938062258,30354.1021311751
Building 64,10274.280926883144,14612.91339518698,15247.514859353078,11998.826880066536,24945.942498421296,37359.926547029805,39750.41185673337,49967.87919700284,35613.06131772723,29866.438573399297,20948.094652157324,9972.350797204519,24656.77357414502,23304.590871908516,13248.701380623032,11901.93086999727,23911.16028921634,23383.68413367162,33828.1937691202,36263.1812744768,36956.61079886214,38869.76775529158,33027.97958804674,17329.347228084418
Building 65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Building 70,16154.97789958226,18348.11669316359,15112.567501037043,9080.174961605115,43052.01300637057,64169.6833532024,74108.0947098854,70548.67369432152,57431.876104116476,44898.28272241604,23183.928369685436,9003.091531725711,19919.386443751675,8858.586824591013,4667.357254296038,1067.3288680301418,42699.212783546456,49380.17324637964,72106.37016492874,70537.62273147791,43855.563541685224,25939.66425986136,12810.37945086394,1664.381414056062
Building 71,2341.2705291147963,7880.204547564194,5749.93874885151,2764.3887994227757,17131.201388491576,24286.5469991535,29811.82037289428,27336.17273427603,27633.75779281671,17122.398601896846,9722.485281577816,3443.1801260253637,2211.1088154480635,640.2741722909833,1959.636982839045,2622.1697868067477,16348.844889091348,21303.809211532996,33848.548757149474,30127.406943822287,25420.914212422562,14767.185171176368,9026.662130659057,984.7422320406665
Building 72,18750.355978886393,16329.17122360974,20446.451575290313,16150.325000885765,41885.23766406621,52750.767760832365,55639.396169595995,65247.22617617196,64065.31881828731,29664.11357768619,38515.52235728797,18197.411131728484,20005.135121306997,34594.30588597831,17483.582467073862,26542.331391089476,28063.53523120508,30000.77652794953,66547.91274888041,48541.68470877565,43626.51881263933,43197.38955328933,48923.59768175953,16999.259768855234
Entrance Gate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Building 74,1763.4600013623976,1099.2688868618952,1210.744673570449,1642.5030615270027,3919.1293263287134,5885.874053283366,6383.409033112482,5289.510696807027,4430.364203355674,2006.5038487287784,1605.2967331901011,1304.394031215893,711.3848240330177,1306.0234442752417,408.1986970165368,13.718880051801307,3266.6929497809597,4146.28329257751,6813.385769869303,6035.451491116557,5971.12126655701,3043.0389497073324,1945.2856005526226,723.4265873290489
Building 90,2640.1939057209574,2849.5406777677285,6466.260599519557,4606.552790734068,19944.402348144755,29850.68094235025,33816.86597923635,32095.14725504522,27041.60423315772,12725.682121608928,16181.74226162947,2799.368602372543,3160.614738578956,0.10614624872198,890.2953177387934,269.0841841103783,10602.062081097121,13389.077690848457,18257.29633064551,19291.105313683303,14145.28114172747,3793.633248296255,3265.8638279440265,0.02875075857757924
Building 92,458.8891792270081,495.275901789879,1123.889043518273,800.6643440590739,3466.5209316476166,5188.323606112336,5877.683368229388,5578.431375263927,4700.07405290439,2211.835142400782,2812.537960397112,486.5527918982247,549.3402024810277,0.015163749817425713,154.74190156519833,46.77361557283956,1842.7436093838924,2327.1413877959326,3173.278926514862,3352.9658931074864,2458.5839817575784,659.3715927688482,567.6361670608063,0.0
Building 93,200.55665523435243,216.45356257466128,491.18149323908744,349.9159239778258,1514.9930758019716,2267.4892012664395,2568.7637089345276,2437.9798415702858,2054.1121039430054,966.6562478798978,1229.1833649780986,212.64830564197098,240.08062097985163,0.015163749817425713,67.626243741646,20.435954341315345,805.3447031747453,1017.0461603627963,1386.8441330912185,1465.3716255921975,1074.4876819114252,288.1720611251887,248.07753325428104,0.0
Building 93A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Building 94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Building 95,4877.473055087745,15783.48282514904,28859.106627781468,20027.56469480346,41601.610828732504,41034.809929652205,32112.301333754753,13216.260965616715,44106.31750668584,21964.69873517304,28970.633992409967,3907.924163556897,3657.5808401984955,3852.1080211199237,5068.124347742243,5346.131075129926,7407.030443833705,7280.297100702091,11806.707674250183,11152.394627565636,34910.55833730939,9790.821244018776,9607.270546089492,5873.089959193577
Building 96,7163.145002557606,6090.106057273002,7025.570040311663,5272.655108743165,40937.65196836125,48997.06569027717,57665.192540802345,64012.10483286791,48126.903167721364,10841.63633384481,35348.11195299254,25883.986901782704,11251.825465114214,10463.684906515344,10185.019436882529,4949.797807369255,21216.18038930018,22812.007886412655,33935.22194630027,34935.680609447314,33626.71073994637,29114.40510361736,24603.37354634678,7900.305946498689
Building 97,1483.510126744159,5710.730458351821,6849.061632757117,5195.6477679690415,3691.2990139372077,4360.535142115778,4639.1747717716835,4814.097403066405,4253.523541690105,4258.095281247649,3221.4768835835716,3711.1144010209014,12.776082670491615,62.55046799688107,250.9885859170902,270.24899468081423,1837.5793376484824,2264.67716435921,2897.447428905294,2952.2963509726114,2860.013228478624,1854.273413167218,2645.5028266592312,1238.9276886250448
Building 98,2900.1075548792733,11163.857430082939,13389.18853382623,10156.927888745004,7216.086798645482,8524.37769200904,9069.080675669557,9411.0460182413,8315.178171349828,8324.107555265751,6297.641886735046,7254.816825973974,24.987823038973783,122.28047852772094,490.67466041505406,528.293363051394,3592.2674191511487,4427.206951568958,5664.211448261971,5771.418843910708,5591.008384924829,3624.900656121166,5171.66431168084,2421.9639025752754
